timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1841,0.0251,-0.0208,1.2278,-0.313,-1.687,3.4046
1861,0.031,-0.0205,1.2339,-0.4275,-1.687,3.4351
1881,0.0249,-0.0112,1.2361,-0.5954,-2.0534,3.4122
1901,0.021,-0.0129,1.2454,-0.4427,-1.9618,3.3664
1921,0.0237,-0.0142,1.2498,-0.5496,-2.1832,3.3969
1941,0.019,-0.0078,1.2412,-0.458,-1.4351,3.4046
1961,0.0176,-0.0149,1.2546,-0.8168,-1.5038,3.229
1981,0.0205,-0.0161,1.2271,-0.3206,-1.8397,3.4275
2001,0.0193,-0.0042,1.2385,-0.542,-1.9924,3.4962
2021,0.019,-0.0056,1.2224,-0.4351,-1.229,3.3969
2041,0.0166,-0.0132,1.2502,-0.6336,-1.2977,3.5267
2061,0.0071,-0.0046,1.2544,-0.9237,-1.5115,3.374
2081,0.0059,-0.009,1.2366,-0.3893,-1.3893,3.5496
2101,0.0046,-0.0071,1.2263,-0.4733,-1.5725,3.7328
2121,0.0176,-0.0168,1.2231,-0.8397,-1.7099,3.5038
2141,0.0146,-0.0139,1.2375,-0.6718,-0.9466,3.3893
2161,0.0151,-0.0181,1.1992,-0.2824,-1.3664,3.5496
2181,0.0232,-0.0264,1.2107,-0.458,-2.1374,3.4122
2201,0.02,-0.0256,1.2314,-0.9084,-2,3.2977
2221,0.0107,-0.0229,1.1992,-0.4885,-1.7176,3.3969
2241,0.0183,-0.0251,1.2139,-0.7863,-1.9466,3.313
2261,0.0193,-0.0107,1.25,-0.9313,-2.145,3.2748
2281,0.0166,-0.0115,1.2224,-0.916,-2.4504,3.5038
2301,0.0161,-0.0146,1.2329,-0.9466,-2.4122,3.4198
2321,0.0215,-0.011,1.2476,-1.3435,-1.6336,3.6489
2341,0.0229,-0.0176,1.2397,-0.9389,-2.1908,3.4198
2361,0.0251,-0.0129,1.2539,-0.9542,-2.3893,3.4046
2381,0.0239,-0.0161,1.2461,-0.9771,-2.0076,3.3893
2401,0.0217,-0.0056,1.2412,-1.2595,-2.2214,3.3206
2421,0.0254,-0.0046,1.2502,-0.9847,-1.9847,3.4656
2441,0.0161,-0.0156,1.241,-0.916,-1.4656,3.4351
2461,0.0173,-0.0149,1.2512,-0.6794,-1.8702,3.5496
2481,0.0181,-0.0225,1.2271,-0.5802,-2.0076,3.5191
2501,0.019,-0.0142,1.2417,-0.7328,-1.4809,3.3359
2521,0.021,-0.0156,1.2271,-0.3588,-0.9389,3.5267
2541,0.0183,-0.0222,1.2271,-0.4733,-1.5038,3.3588
2561,0.0281,-0.0227,1.2239,-0.5954,-1.5649,3.4122
2581,0.0234,-0.0164,1.2224,-0.2137,-1.8244,3.4122
2601,0.0234,-0.0198,1.231,-0.1832,-1.542,3.4809
2621,0.0132,-0.0229,1.2156,-0.2595,-1.3206,3.6565
2641,0.0195,-0.0229,1.2141,-0.3511,-1.4504,3.4809
2661,0.0256,-0.0217,1.2244,-0.1069,-2.0153,3.5802
2681,0.021,-0.0225,1.2312,-0.2748,-1.9237,3.3664
2701,0.021,-0.0146,1.2361,-0.374,-1.5038,3.2748
2721,0.0256,-0.0229,1.2161,-0.5344,-1.8092,3.313
2741,0.0215,-0.0229,1.2173,-0.2443,-1.9618,3.4885
2761,0.0295,-0.0261,1.207,-0.6641,-2.2824,3.5038
2781,0.0198,-0.0139,1.2295,-0.5191,-1.855,3.5038
2801,0.019,-0.011,1.2375,-0.5802,-1.3969,3.4809
2821,0.0251,-0.0042,1.2466,-0.7481,-1.7863,3.5573
2841,0.0166,-0.0078,1.2356,-0.3893,-2.0763,3.4962
2861,0.01,-0.0095,1.2305,-0.7634,-2.0992,3.5496
2881,0.0173,-0.0134,1.229,-0.5649,-1.6947,3.3511
2901,0.0144,-0.0151,1.2268,-0.5954,-1.4962,3.5115
2921,0.001,-0.0073,1.2288,-0.6412,-1.4962,3.2901
2941,0.0059,-0.0076,1.2305,-0.3053,-1.8015,3.4504
2961,0.0139,-0.0132,1.2205,-0.1908,-1.4962,3.2672
2981,0.0127,-0.0171,1.2332,-0.6107,-1.3053,3.4275
3001,0.012,-0.0093,1.2405,-0.6947,-1.5038,3.4198
3021,0.0088,-0.0164,1.2231,-0.5725,-1.6489,3.4198
3041,0.0061,-0.0098,1.2319,-0.7786,-2.2672,3.3664
3061,0.0059,-0.0134,1.2432,-0.687,-2.1221,3.313
3081,0.0151,-0.01,1.2329,-0.7328,-1.9237,3.4275
3101,0.0171,-0.0164,1.2329,-1.2519,-2.0458,3.4198
3121,0.0154,-0.0151,1.239,-0.7252,-2.4351,3.458
3141,0.0173,-0.0222,1.2427,-0.687,-2.2824,3.4885
3161,0.0154,-0.0093,1.2446,-1.2061,-2.2519,3.374
3181,0.0159,-0.0081,1.2461,-0.9924,-2.1145,3.4809
3201,0.0244,-0.0156,1.2554,-1.0458,-2.2901,3.4351
3221,0.0259,-0.0176,1.2329,-1.1069,-2.1374,3.3359
3241,0.0286,-0.0195,1.2378,-0.8702,-1.9542,3.4809
3261,0.0249,-0.0168,1.2346,-0.916,-2.1298,3.4504
3281,0.0254,-0.019,1.2446,-0.8855,-1.8931,3.5115
3301,0.0222,-0.0208,1.2322,-0.9237,-1.7405,3.3969
3321,0.0266,-0.01,1.231,-0.6565,-1.5725,3.5802
3341,0.0151,-0.0198,1.2397,-0.4504,-1.9695,3.4962
3361,0.02,-0.0259,1.2102,-0.1221,-1.3511,3.4656
3381,0.0198,-0.0117,1.2358,-0.4198,-1.2366,3.313
3401,0.0161,-0.0144,1.2302,-0.5573,-1.5267,3.3969
3421,0.0239,-0.0276,1.2151,-0.2137,-1.5267,3.4809
3441,0.02,-0.0244,1.2146,-0.2214,-1.2137,3.4046
3461,0.0164,-0.0259,1.2214,-0.3359,-0.9389,3.5344
3481,0.0137,-0.0208,1.208,-0.1527,-2.084,3.4046
3501,0.019,-0.0183,1.2332,-0.2901,-2.3206,3.3664
3521,0.0215,-0.0232,1.2349,-0.5038,-1.1374,3.3893
3541,0.0227,-0.0244,1.2205,-0.4885,-0.7099,3.5573
3561,0.0098,-0.0186,1.21,0,-2.0153,3.4733
3581,0.0083,-0.0183,1.2273,-0.1527,-2.3511,3.6412
3601,0.0242,-0.0112,1.2231,-0.1756,-2.1832,3.3511
3621,0.0232,-0.012,1.2332,-0.6107,-1.2137,3.3511
3641,0.0166,-0.0068,1.2322,-0.7939,-1.0153,3.4198
3661,0.0229,-0.0095,1.2258,-0.4046,-2.7939,3.5344
3681,0.0234,-0.0132,1.2368,-0.2977,-3.1145,3.3359
3701,0.0159,-0.0149,1.2563,-0.8397,-0.2977,3.542
3721,0.0107,-0.0117,1.2356,-0.8473,-0.7863,3.4046
3741,0.0139,-0.0063,1.2207,-0.3969,-2.6718,3.4962
3761,0.0071,-0.0125,1.2153,-0.3053,-2.5954,3.4351
3781,0.0154,-0.0078,1.2454,-0.771,-1.7634,3.542
3801,0.0129,-0.0112,1.251,-0.9313,-0.9389,3.3435
3821,0.0178,-0.0159,1.2205,-0.8702,-0.6031,3.4656
3841,0.0103,-0.0146,1.2312,-0.458,-2.3206,3.4198
3861,0.0049,-0.0171,1.2314,-0.6031,-3.0305,3.5496
3881,0.0129,-0.0188,1.2373,-0.7939,-1.771,3.4198
3901,0.0134,-0.0146,1.2437,-1.0992,-1.1603,3.5115
3921,0.0173,-0.0198,1.2288,-1.0382,-1.2137,3.374
3941,0.0134,-0.0168,1.2224,-0.7176,-2.7557,3.4733
3961,0.02,-0.0176,1.2266,-0.2977,-3.687,3.4885
3981,0.0234,-0.0208,1.2363,-0.7328,-1.7634,3.4122
4001,0.022,-0.0217,1.2498,-1.4198,0.2443,3.3893
4021,0.012,-0.0239,1.2334,-1.0611,-2.2595,3.4122
4041,0.0261,-0.0222,1.2202,-0.3588,-4.2443,3.4351
4061,0.0217,-0.0139,1.2483,-0.7328,-2.7634,3.4504
4081,0.0254,-0.0146,1.2556,-0.9237,-0.4504,3.2519
4101,0.0264,-0.022,1.2432,-1.0305,-0.916,3.458
4121,0.0208,-0.0161,1.2322,-0.458,-2.7176,3.3817
4141,0.0137,-0.0161,1.2471,-0.8397,-3.5191,3.3282
4161,0.0198,-0.0112,1.2327,-0.6947,-1.1679,3.4656
4181,0.0232,-0.0127,1.2441,-1.1221,-0.0611,3.4504
4201,0.0186,-0.0156,1.2263,-0.5115,-1.5573,3.4809
4221,0.0146,-0.0166,1.2158,-0.2214,-2.7252,3.5267
4241,0.0149,-0.0125,1.2551,-0.771,-2.1985,3.6031
4261,0.0237,-0.0188,1.2263,-0.4198,-1.9924,3.6031
4281,0.0156,-0.0225,1.2202,-0.5802,-1.3664,3.3511
4301,0.0156,-0.0288,1.2109,-0.458,0.0229,3.4809
4321,0.0107,-0.0198,1.2195,-0.3206,-2.1221,3.4122
4341,0.021,-0.0168,1.2229,0.1603,-4.0305,3.542
4361,0.0288,-0.0173,1.2224,-0.0916,-1.855,3.5115
4381,0.0327,-0.0232,1.2009,-0.4427,0.2977,3.2595
4401,0.0125,-0.0225,1.2109,-0.4885,-0.4504,3.3893
4421,0.012,-0.0176,1.2236,-0.3435,-2.9237,3.3511
4441,0.0264,-0.0095,1.2234,-0.1603,-3.2443,3.458
4461,0.0266,-0.0125,1.2449,-0.4962,-1.1145,3.458
4481,0.0137,-0.0166,1.2212,-1.0229,-0.4122,3.4427
