timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1801,-0.0232,-0.0176,1.2271,-0.687,-1.626,3.2672
1821,-0.0195,-0.0137,1.2371,-0.687,-1.458,3.2901
1841,-0.0254,-0.0105,1.2249,-0.6641,-1.1908,3.4275
1861,-0.0249,-0.0151,1.2288,-0.5954,-1.0611,3.4962
1881,-0.0347,-0.0254,1.2278,-0.6489,-1.313,3.3206
1901,-0.0295,-0.0171,1.2236,-0.7099,-1.6565,3.6107
1921,-0.0269,-0.0203,1.2271,-0.7405,-1.8168,3.5725
1941,-0.0344,-0.0183,1.2324,-0.6641,-1.3664,3.5802
1961,-0.0291,-0.0173,1.23,-0.6489,-1.6718,3.2443
1981,-0.0356,-0.0247,1.2339,-0.5038,-1.8168,3.2977
2001,-0.0298,-0.021,1.2273,-0.7099,-2.1908,3.3282
2021,-0.0364,-0.0227,1.2383,-0.7634,-2.5191,3.458
2041,-0.0322,-0.0215,1.2498,-0.4885,-2.3435,3.5038
2061,-0.0352,-0.0154,1.2463,-0.6183,-2.4733,3.313
2081,-0.0269,-0.0149,1.2546,-0.3969,-2.4122,3.4962
2101,-0.0283,-0.0198,1.2451,-0.6107,-2.1221,3.2672
2121,-0.0269,-0.0198,1.251,-0.6336,-2.374,3.2748
2141,-0.0259,-0.0168,1.2449,-0.4351,-1.9924,3.4427
2161,-0.0266,-0.0166,1.2407,-0.6794,-1.8855,3.4427
2181,-0.0217,-0.0247,1.229,-0.6565,-1.5267,3.5344
2201,-0.0276,-0.0198,1.2363,-3.5573,-4.4198,3.4885
2221,-0.012,-0.0161,1.228,-1.6412,-2.542,3.5725
2241,-0.0286,-0.0298,1.1982,4.2519,2.8321,2.9237
2261,-0.0061,-0.0093,1.2144,-1.3435,-2.3282,2.6947
2281,-0.0317,-0.0256,1.2117,-0.9618,-2.6336,3.374
2301,-0.0227,-0.0161,1.2151,0.542,-0.313,3.4275
2321,-0.0188,-0.0239,1.2246,-1.313,-3.0458,3.3893
2341,-0.0281,-0.02,1.2307,-0.2977,-1.7634,3.3359
2361,-0.0332,-0.0173,1.2466,-0.8702,-2.7481,3.5573
2381,-0.0352,-0.0227,1.238,-0.2824,-2.0611,3.2137
2401,-0.0222,-0.0164,1.2361,-0.9618,-2.6718,3.5038
2421,-0.0222,-0.0205,1.2434,-0.5344,-2.2977,3.4962
2441,-0.0515,-0.0295,1.2341,0.0458,-1.6031,1.2443
2461,-0.1082,-0.0781,1.2317,0.5802,-2.6412,-10.2901
2481,-0.0818,-0.074,1.2332,1.8244,-1.3206,-21.6947
2501,-0.0315,-0.0024,1.2217,0.9542,-1.5573,-23.1145
2521,0.0144,0.041,1.2434,-0.7481,-3.4122,-13.5267
2541,0.0586,0.0132,1.2351,-1.4733,-3.8931,-2.2901
2561,0.0034,-0.0085,1.2195,-0.0305,-0.3282,3.771
2581,-0.0256,-0.0081,1.249,-0.7023,-1.4122,3.6412
2601,-0.0159,-0.0151,1.2251,-0.9847,-2.2061,3.4885
2621,-0.022,-0.0249,1.2407,-0.542,-1.1603,3.3969
2641,-0.0193,-0.021,1.2288,-1.0534,-1.8626,3.5115
2661,-0.0127,-0.0227,1.2344,-0.8473,-1.458,3.5802
2681,-0.0229,-0.0269,1.2297,-0.8473,-1.9847,3.3511
2701,-0.0244,-0.0159,1.23,-0.9847,-1.626,3.5954
2721,-0.0232,-0.0168,1.2314,-0.8702,-2.1221,3.4656
2741,-0.0237,-0.0188,1.2419,-0.7481,-1.8092,3.2977
2761,-0.0195,-0.0198,1.2314,-0.5573,-2.2214,3.374
2781,-0.02,-0.0149,1.2292,-0.6489,-1.9313,3.2672
2801,-0.0276,-0.02,1.2427,-0.458,-1.8626,3.5344
2821,-0.0244,-0.0217,1.23,-0.6718,-1.7405,3.4198
2841,-0.0171,-0.0134,1.2373,-0.7328,-1.7939,3.5191
2861,-0.0261,-0.019,1.2366,-0.6641,-1.8244,3.4504
2881,-0.02,-0.021,1.2302,-0.9313,-1.6947,3.2748
2901,-0.0266,-0.0234,1.2344,-0.7099,-1.5954,3.4733
2921,-0.0305,-0.021,1.2231,-0.542,-1.229,3.4122
2941,-0.0225,-0.0225,1.2275,-0.6718,-1.3817,3.5038
2961,-0.0281,-0.0146,1.2246,-0.626,-1.6336,3.5267
2981,-0.0293,-0.0198,1.2314,-0.6183,-1.2137,3.3282
3001,-0.0308,-0.0229,1.228,-0.6412,-1.4733,3.3435
3021,-0.0261,-0.0137,1.2334,-0.5725,-1.9466,3.3511
3041,-0.0278,-0.0139,1.2278,-0.542,-1.6641,3.1527
3061,-0.0183,-0.0256,1.2346,-0.6565,-1.6794,3.3359
3081,-0.0295,-0.0159,1.2305,-0.4046,-2.0916,3.3435
3101,-0.0195,-0.0222,1.2305,-0.542,-1.8473,3.374
3121,-0.0217,-0.019,1.2324,-0.8244,-2.084,3.4351
3141,-0.0198,-0.0215,1.2319,-0.6183,-1.8931,3.4962
3161,-0.0234,-0.0232,1.2302,-0.7405,-1.9389,3.2443
3181,-0.021,-0.0193,1.2422,-0.5725,-1.9466,3.3664
3201,-0.0276,-0.0171,1.2346,-0.7863,-1.8015,3.4122
3221,-0.0264,-0.0183,1.2361,-0.5649,-1.4198,3.5115
3241,-0.0325,-0.0222,1.2207,-0.5725,-1.855,3.2366
3261,-0.0273,-0.0144,1.2275,-0.542,-1.6412,3.5267
3281,-0.0361,-0.0161,1.2429,-0.5496,-1.4656,3.3893
3301,-0.0283,-0.0271,1.2388,-0.7328,-1.3817,3.4427
3321,-0.0281,-0.0251,1.2263,-0.6183,-1.229,3.3435
3341,-0.0339,-0.0203,1.2197,-0.6336,-1.4046,3.5115
3361,-0.0251,-0.0171,1.2373,-0.626,-1.6718,3.3664
3381,-0.0303,-0.02,1.228,-0.5878,-1.9466,3.374
3401,-0.0291,-0.0137,1.2273,-0.5573,-1.5954,3.4275
3421,-0.0234,-0.0232,1.2229,-0.7481,-1.8321,3.4504
3441,-0.0239,-0.0156,1.2332,-0.4809,-2.1298,3.5344
3461,-0.0251,-0.0225,1.2314,-0.542,-2.0229,3.458
3481,-0.0178,-0.0183,1.2417,-0.542,-2.313,3.1527
3501,-0.0161,-0.0166,1.2302,-0.5802,-2.4046,3.4962
3521,-0.0242,-0.02,1.2368,-0.542,-2.2519,3.2977
3541,-0.0256,-0.021,1.2336,-0.542,-2.542,3.5496
3561,-0.019,-0.0173,1.2485,-0.542,-2.2595,3.4885
3581,-0.0198,-0.0198,1.2373,-0.626,-2.0687,3.5878
3601,-0.0164,-0.0137,1.239,-0.7786,-2.0763,3.4809
3621,-0.0173,-0.0139,1.2319,-0.6641,-2.1985,3.3893
3641,-0.0247,-0.0181,1.2244,-0.6794,-1.9542,3.4885
3661,-0.0232,-0.0171,1.228,-0.5878,-1.6641,3.2214
3681,-0.0215,-0.0115,1.2256,-0.626,-1.8855,3.5115
3701,-0.0298,-0.0125,1.2285,-0.7863,-2.0992,3.4504
3721,-0.0137,-0.0198,1.2283,-0.9084,-2.0382,3.3435
3741,-0.0115,-0.0186,1.2188,-0.6107,-1.9466,3.2748
3761,-0.0247,-0.0203,1.2297,-0.5725,-1.6641,3.4427
3781,-0.0198,-0.0171,1.2302,-0.5115,-1.8855,3.3969
3801,-0.0237,-0.0198,1.2178,-0.7481,-2.0992,3.3511
3821,-0.0132,-0.0168,1.2424,-0.7786,-1.9847,3.5344
3841,-0.0173,-0.0171,1.2439,-0.6336,-2.4122,3.4733
3861,-0.0229,-0.0125,1.2388,-0.8244,-2.0305,3.6031
3881,-0.0188,-0.0222,1.2417,-0.8168,-1.9618,3.3282
3901,-0.0212,-0.0249,1.2271,-0.7405,-2.1527,3.2595
3921,-0.0237,-0.022,1.2341,-0.8702,-2.0458,3.3817
3941,-0.0229,-0.0149,1.2334,-0.8244,-2.1069,3.4198
3961,-0.0154,-0.0127,1.2329,-0.9313,-1.6489,3.4962
3981,-0.019,-0.0178,1.2336,-0.4198,-1.3664,3.4809
4001,-0.0225,-0.0129,1.2422,-0.5344,-0.8626,3.5344
4021,-0.0212,-0.019,1.2312,-0.5115,-1.0534,3.6336
4041,-0.0234,-0.021,1.2278,-0.0076,-0.4962,3.7099
4061,-0.0256,-0.0144,1.2314,-0.3206,-0.5496,4.0534
4081,-0.0146,-0.0015,1.2151,-0.2824,-0.7328,4.8244
4101,-0.0378,0.0198,1.2192,-1.1145,-1.1908,8.1527
4121,-0.0183,0.0503,1.2053,-1.5954,-0.6183,12.6031
4141,-0.0212,0.0439,1.2393,-2.5649,-0.9389,17.2061
4161,-0.0945,-0.0859,1.2,-1.9847,-1.8397,15.6489
4181,-0.0347,-0.0413,1.2715,0.7557,2.2901,0.6336
4201,-0.1287,-0.0176,1.2261,0.1908,1.2824,-13.6489
4221,-0.0127,0.0063,1.2358,-0.3053,-1.4427,-19.687
4241,0.0974,-0.0435,1.2795,-3.0992,-3.5649,-0.5725
4261,-0.0305,0.0117,1.1963,-5.6718,-4.6794,27.6794
4281,-0.0447,-0.0483,1.2341,-5.229,-11.542,24.8015
4301,-0.0491,-0.0381,1.2332,-6.2366,-13.9389,19.5038
4321,0.0037,-0.0381,1.2549,-10.0153,-12.4962,17.7099
4341,0.0161,-0.0059,1.3147,-18.3588,-11.4275,17.2672
4361,-0.0012,-0.0186,1.2629,-25.542,-12.2901,22.0534
4381,-0.0557,-0.0869,1.2319,-29.1145,-14.4885,16.4427
4401,0.0068,-0.0715,1.1545,-19.5649,-18.7939,18.0534
4421,0.0085,-0.0684,1.2083,-3.5267,-17.6336,12.9084
